Subject,Title,Institution,Learning Product,Level,Duration,Gained Skills,Rate,Reviews
Business,Business Analysis & Process Management,Coursera Project Network,Guided Project,Beginner,Less Than 2 Hours,"Process Analysis, Business Process, Business Analysis, Process Mapping, Workflow Management, Process Flow Diagrams, Business Modeling, Business Process Management, Stakeholder Management",4.4,6100
Business,Getting Started with Microsoft Excel,Coursera Project Network,Guided Project,Intermediate,Less Than 2 Hours,"Microsoft Excel, Excel Formulas, Spreadsheet Software, Data Entry, Microsoft 365",4.6,11000
Business,Financial Markets,Yale University,Course,Beginner,1 - 3 Months,"Investment Banking, Risk Management, Financial Market, Financial Regulation, Financial Services, Finance, Business Risk Management, Securities (Finance), Financial Policy, Capital Markets, Behavioral Economics, Banking, Corporate Finance, Governance, Insurance, Underwriting, Equities, Derivatives, Mortgage Loans, Decision Making",4.8,30000
Business,Investment Risk Management,Coursera Project Network,Guided Project,Intermediate,Less Than 2 Hours,"Investment Management, Risk Management, Financial Analysis, Risk Analysis, Portfolio Management, Financial Market, Investments, Return On Investment, Performance Measurement",4.4,1800
Business,Food & Beverage Management,Università Bocconi,Course,Mixed,1 - 3 Months,"Food and Beverage, Hospitality, Restaurant Management, Product Knowledge, Product Quality (QA/QC), Global Marketing, Market Dynamics, Business Strategy, Consumer Behaviour, Competitive Analysis",4.8,4800
Business,Introduction to Data Analysis using Microsoft Excel,Coursera Project Network,Guided Project,Intermediate,Less Than 2 Hours,"Microsoft Excel, Excel Formulas, Spreadsheet Software, Pivot Tables And Charts, Data Analysis, Data Manipulation, Data Mining",4.7,3800
Business,Business Analytics with Excel: Elementary to Advanced,Johns Hopkins University,Course,Intermediate,1 - 3 Months,"Risk Modeling, Regression Analysis, Microsoft Excel, Business Analytics, Business Process Modeling, Business Risk Management, Business Modeling, Data Modeling, Resource Allocation, Statistical Analysis, Mathematical Modeling, Process Optimization, Financial Analysis, Spreadsheet Software, Predictive Analytics, Transportation Operations",4.8,3500
Business,Leadership Skills,IIMA - IIM Ahmedabad,Course,Beginner,1 - 3 Months,"Leadership, Organizational Change, Organizational Leadership, Team Leadership, Change Management, Leadership and Management, Business Leadership, Business Ethics, Strategic Leadership, Self-Awareness, Personal Development, Decision Making, Emotional Intelligence, Influencing, Communication, Relationship Building",4.9,1700
Business,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,Course,Mixed,1 - 3 Months,"Negotiation, Conflict Management, Leadership, Communication, Persuasive Communication, Influencing, Relationship Building, Decision Making, Strategic Decision-Making, Strategic Communication",4.8,5100
Business,Google Ads for Beginners,Coursera Project Network,Guided Project,Beginner,Less Than 2 Hours,"Target Audience, Search Engine Marketing, Advertising Campaigns, Campaign Management, Advertising, Web Analytics, Marketing, Digital Marketing, Return On Investment",4.4,5500
Business,Behavioral Finance,Duke University,Course,Beginner,1 - 4 Weeks,"Behavioral Economics, Decision Making, Financial Planning, Finance, Consumer Behaviour, Financial Market, Financial Analysis, Economics, Probability & Statistics, Risk Analysis",4.4,4300
Business,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,Course,Intermediate,1 - 4 Weeks,"Statistical Inference, Statistical Methods, Pandas (Python Package), Probability & Statistics, Risk Analysis, Statistics, Financial Trading, Financial Data, Data Manipulation, Statistical Analysis, Regression Analysis, Financial Analysis, Jupyter, Financial Modeling, Python Programming, Data Import/Export",4.4,4400
Business,Using Basic Formulas and Functions in Microsoft Excel,Coursera Project Network,Guided Project,Beginner,Less Than 2 Hours,"Excel Formulas, Spreadsheet Software, Microsoft Excel, Microsoft 365, Business Mathematics",4.6,2200
Business,International Leadership and Organizational Behavior,Università Bocconi,Course,Mixed,1 - 3 Months,"Conflict Management, Team Motivation, Intercultural Competence, Professional Networking, Organizational Leadership, Cultural Diversity, Cultural Sensitivity, Business Leadership, Cross-Functional Team Leadership, Communication, Leadership, Business Ethics, Team Management, Decision Making",4.8,3400
Business,Launch Your Online Business,The State University of New York,Course,Beginner,1 - 4 Weeks,"Branding, Brand Strategy, Media Production, Entrepreneurship, Content Creation, Marketing, Web Content, Copywriting, Business Modeling, Public Relations, Presentations, Customer Engagement, Promotional Strategies, Value Propositions, E-Commerce, Web Design and Development, Business Planning, Marketing Strategies, Content Strategy, Customer Analysis",4.7,800
Business,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,Course,Mixed,1 - 3 Months,"People Management, Conflict Management, Team Motivation, Leadership, Human Resources Management and Planning, Employee Performance Management, Performance Management, People Development, Leadership and Management, Performance Appraisal, Interviewing Skills, Decision Making, Compensation Management, Recruitment",4.7,4200
Business,Successful Negotiation: Essential Strategies and Skills,University of Michigan,Course,Beginner,1 - 3 Months,"Negotiation, Contract Negotiation, Conflict Management, Communication, Contract Management, Influencing, Planning, Decision Making, Ethical Standards And Conduct, Industrial and Organizational Psychology",4.8,20000
Business,"Brand Management: Aligning Business, Brand and Behaviour",University of London,Course,Beginner,1 - 3 Months,"Brand Management, Branding, Brand Strategy, Culture Transformation, Employee Engagement, Marketing Management, Global Marketing, Internal Communications, Human Resource Strategy, Strategic Marketing, Organizational Change, Customer Engagement, Consumer Behaviour, Cross-Functional Collaboration",4.9,7500
Business,Practical Guide to Trading,Interactive Brokers,Specialization,Beginner,3 - 6 Months,"Derivatives, Equities, Risk Analysis, Financial Trading, International Finance, Investments, Securities Trading, Financial Market, Risk Management, Financial Statement Analysis, Financial Analysis, Securities (Finance), Market Analysis, Analysis, Capital Markets, Investment Management, Tax, Balance Sheet, Financial Regulations, Business Metrics",4.4,713
Business,Create a Promotional Video using Canva,Coursera Project Network,Guided Project,Beginner,Less Than 2 Hours,"Customer Engagement, Canva (Software), Selling Techniques, Marketing Materials, Presentations, Promotional Materials, Copywriting, Promotional Strategies, Social Media Content, Multimedia, Marketing, Social Media Marketing, Target Audience, Value Propositions, Content Creation",4.3,994
Business,Corporate Strategy,University of London,Course,Beginner,1 - 4 Weeks,"Corporate Strategy, Business Strategy, Organizational Strategy, Strategic Decision-Making, Business, Mergers & Acquisitions, Growth Strategies, New Business Development, Business Valuation, Resource Allocation, Analysis",4.8,2600
Business,Tally Bookkeeper,Tally Education and Distribution Services Private Limited,Professional Certificate,Beginner,3 - 6 Months,"Accounts Payable and Receivable, Accounting, General Accounting, Accounting Systems, Financial Reporting, Bookkeeping, Accounting Software, Management Reporting, Sales Tax, Accounting Records, Budgeting, Tax Returns, Data Import/Export, Inventory Management System, Business Reporting, Order Management, Financial Statements, Tax, General Ledger, Tax Compliance",4.6,177
Business,Google Digital Marketing & E-commerce,Google,Professional Certificate,Beginner,3 - 6 Months,"Media Planning, Search Engine Marketing, Email Marketing, Data Storytelling, Social Media Strategy, Search Engine Optimization, Social Media, Social Media Marketing, Content Creation, Order Fulfillment, A/B Testing, Target Audience, Digital Marketing, E-Commerce, Loyalty Programs, Social Media Management, Customer Retention, Persona Development, Performance Measurement, Marketing Automation",4.8,37000
Business,Social Media Management,Meta,Course,Beginner,1 - 4 Weeks,"Social Media Content, Social Media Management, Social Media Marketing, Content Creation, Social Media Strategy, Content Marketing, Instagram, Content Management, Brand Strategy, Brand Management, Facebook, Customer Engagement",4.8,5500
Business,Project Management Essentials,Howard University,Course,Beginner,1 - 4 Weeks,"Project Management Life Cycle, Project Management Institute (PMI) Methodology, Project Management, Project Risk Management, Scope Management, Project Planning, Agile Methodology, Project Closure, Waterfall Methodology, Stakeholder Management, Leadership",4.6,719
Business,Private Equity and Venture Capital,Università Bocconi,Course,Mixed,1 - 3 Months,"Private Equity, Business Valuation, Investments, Financial Management, Corporate Finance, Tax Laws, Entrepreneurship, Due Diligence, Tax, Negotiation, Law, Regulation, and Compliance",4.8,8600
Business,Organizational Analysis,Stanford University,Course,Beginner,1 - 3 Months,"Organizational Structure, Organizational Strategy, Decision Making, Organizational Change, Organizational Effectiveness, Professional Networking, Business, Social Sciences, Culture, Sociology, Analysis, Resource Management, Leadership",4.6,1600
Business,Human Resources Analytics,"University of California, Irvine",Course,Mixed,1 - 4 Weeks,"Data Storytelling, Data-Driven Decision-Making, Employee Training, Performance Metric, Compensation Management, Human Resources, Human Resource Strategy, Workforce Planning, Business Metrics, Data Analysis, Employee Engagement, Recruitment, Talent Acquisition, Analytics",4.6,1900
Business,Supply Chain Management: A Learning Perspective,Korea Advanced Institute of Science and Technology(KAIST),Course,Mixed,1 - 3 Months,"New Product Development, Supply Chain, Supply Chain Management, Supply Chain Planning, Quality Management, Operations Management, Product Development, Logistics Management, Supplier Management, Transportation, Supply Chain, and Logistics, Inventory Management System, Coordinating, Value Propositions, Operational Efficiency, Continuous Improvement Process, Consumer Behaviour, Cross-Functional Collaboration, Complex Problem Solving",4.7,1700
